@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L3,4,5'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2}
@attribute outputs-3 {0,1,2}

@data
1,'2024/12/09 20:05:28:867',1,0.006223,-0.003475,0.005747,0.100959,0.004404,2.445154,1,?,?
2,'2024/12/09 20:05:29:083',1,0.005151,-0.001176,0.010277,0.094852,0.007593,2.443007,1,?,?
3,'2024/12/09 20:05:29:293',1,-0.000773,0.002707,-0.012515,0.088164,0.004498,2.443863,1,?,?
4,'2024/12/09 20:05:29:497',1,-0.027998,-0.001431,0.005486,0.086047,-0.000814,2.445541,1,?,?
5,'2024/12/09 20:05:29:708',1,0.001559,0.001124,0.007494,0.096719,0.004213,2.445123,1,?,?
6,'2024/12/09 20:05:29:881',1,0.004873,0.006582,0.0004,0.094875,0.001436,2.445785,1,?,?
7,'2024/12/09 20:05:30:025',1,0.006824,0.000172,0.009745,0.093846,0.000043,2.441956,1,?,?
8,'2024/12/09 20:05:30:312',1,0.008669,0.001403,0.004889,0.092308,-0.004246,2.440403,1,?,?
9,'2024/12/09 20:05:30:522',1,0.005632,0.003186,0.004297,0.090605,-0.007003,2.4416,1,?,?
10,'2024/12/09 20:05:30:620',1,0.003045,-0.002317,0.006511,0.092878,-0.007487,2.44376,1,?,?
11,'2024/12/09 20:05:30:831',1,0.009378,-0.003364,-0.000956,0.085163,-0.011234,2.444004,1,?,?
12,'2024/12/09 20:05:31:029',1,-0.004487,-0.00004,-0.006361,0.081425,-0.014375,2.44078,1,?,?
13,'2024/12/09 20:05:31:242',1,0.004254,-0.006917,0.02607,0.079379,-0.017601,2.438208,1,?,?
14,'2024/12/09 20:05:31:443',1,0.003122,-0.004881,0.004154,0.081682,-0.020908,2.439321,1,?,?
15,'2024/12/09 20:05:31:621',1,-0.001314,-0.004685,0.004563,0.080745,-0.021034,2.439881,1,?,?
16,'2024/12/09 20:05:31:854',1,0.004861,-0.003059,0.011951,0.081994,-0.021138,2.439118,1,?,?
17,'2024/12/09 20:05:32:057',1,0.01191,0.001976,0.006544,0.083019,-0.022441,2.439421,1,?,?
18,'2024/12/09 20:05:32:258',1,0.00426,0.002559,0.000515,0.083573,-0.022513,2.439763,1,?,?
19,'2024/12/09 20:05:32:457',1,0.002659,-0.001655,-0.007707,0.08351,-0.021197,2.440749,1,?,?
20,'2024/12/09 20:05:32:672',1,0.005044,-0.004945,0.000781,0.08517,-0.020179,2.443377,1,?,?
21,'2024/12/09 20:05:32:876',1,0.010413,0.002267,-0.001108,0.084168,-0.018031,2.445635,1,?,?
22,'2024/12/09 20:05:33:082',1,0.011572,0.000827,0.00188,0.084163,-0.018229,2.448096,1,?,?
23,'2024/12/09 20:05:33:291',1,-0.007427,-0.002225,0.002498,0.085878,-0.01728,2.447946,1,?,?
24,'2024/12/09 20:05:33:474',1,-0.004703,-0.002771,0.009136,0.08507,-0.015939,2.446676,1,?,?
25,'2024/12/09 20:05:33:689',1,0.003315,0.002333,0.003378,0.08474,-0.015119,2.445532,1,?,?
26,'2024/12/09 20:05:33:890',1,0.003681,-0.004509,0.007789,0.085362,-0.014553,2.444494,1,?,?
27,'2024/12/09 20:05:34:108',1,0.012631,-0.006243,0.011819,0.087512,-0.014257,2.443807,1,?,?
28,'2024/12/09 20:05:34:310',1,-0.003152,0.00044,0.004672,0.08624,-0.012658,2.446071,1,?,?
29,'2024/12/09 20:05:34:520',1,-0.00389,-0.004121,0.013477,0.087574,-0.014231,2.444667,1,?,?
30,'2024/12/09 20:05:34:704',1,0.00295,0.001673,0.014841,0.086666,-0.011615,2.445264,1,?,?
31,'2024/12/09 20:05:34:908',1,-0.003501,0.007739,-0.013867,0.089784,-0.005018,2.445115,1,?,?
32,'2024/12/09 20:05:35:124',1,-0.011411,0.001459,0.000831,0.09094,-0.004798,2.44577,1,?,?
33,'2024/12/09 20:05:35:222',1,-0.001953,-0.00459,0.002329,0.089217,-0.00907,2.445981,1,?,?
34,'2024/12/09 20:05:35:441',1,-0.002102,-0.000433,0.000527,0.089469,-0.010161,2.444247,1,?,?
35,'2024/12/09 20:05:35:642',1,0.000659,0.00419,-0.013805,0.087201,-0.010679,2.442279,1,?,?
36,'2024/12/09 20:05:35:846',1,-0.000633,-0.000811,-0.005638,0.087588,-0.010026,2.440846,1,?,?
37,'2024/12/09 20:05:36:054',1,-0.00183,0.001856,-0.005152,0.085962,-0.011932,2.439733,1,?,?
38,'2024/12/09 20:05:36:222',1,0.010575,0.000622,0.001972,0.085335,-0.011441,2.439857,1,?,?
39,'2024/12/09 20:05:36:459',1,-0.000281,0.002371,-0.006888,0.084641,-0.013332,2.442765,1,?,?
40,'2024/12/09 20:05:36:666',1,-0.000149,0.00223,-0.011952,0.085663,-0.014584,2.442913,1,?,?
41,'2024/12/09 20:05:36:869',1,0.000896,0.004746,-0.00359,0.088678,-0.014427,2.442315,1,?,?
42,'2024/12/09 20:05:37:069',1,0.002115,0.000292,-0.000898,0.089247,-0.01464,2.44235,1,?,?
43,'2024/12/09 20:05:37:280',1,0.004008,-0.002717,0.014748,0.090945,-0.015333,2.443545,1,?,?
44,'2024/12/09 20:05:37:470',1,-0.00277,0.008171,0.007192,0.089528,-0.012616,2.446233,1,?,?
45,'2024/12/09 20:05:37:689',1,-0.004251,-0.012648,0.007796,0.092004,-0.012281,2.445866,1,?,?
46,'2024/12/09 20:05:37:893',1,-0.011531,-0.004238,0.002921,0.09216,-0.01513,2.44608,1,?,?
