@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2024/12/18 15:45:31:965',1,-0.044052,-0.055392,-0.005917,0.210456,-0.004915,0.370252,?,?,?
2,'2024/12/18 15:45:31:968',1,0.224684,-0.165492,-0.455147,0.025459,0.05102,0.243296,?,?,?
3,'2024/12/18 15:45:31:968',1,-0.002475,0.926415,0.471223,0.501772,0.009141,0.425892,?,?,?
4,'2024/12/18 15:45:32:166',1,0.088242,0.091015,0.679019,0.794629,0.038496,0.307917,?,?,?
5,'2024/12/18 15:45:32:371',1,0.152739,-0.511691,0.412246,0.545353,0.082516,0.256868,?,?,?
6,'2024/12/18 15:45:32:576',1,-0.011512,0.359046,-0.508038,0.302704,0.029985,0.424184,?,?,?
7,'2024/12/18 15:45:32:780',1,-0.01602,-0.039531,0.11952,0.359375,0.006942,0.397856,?,?,?
8,'2024/12/18 15:45:33:602',1,-0.012875,0.014071,-0.021613,0.29569,0.034953,0.386237,?,?,?
9,'2024/12/18 15:45:33:740',1,-0.026309,-0.039496,0.113406,0.285313,0.034516,0.384121,?,?,?
10,'2024/12/18 15:45:33:934',1,0.15152,0.059325,-0.87059,0.217828,0.110936,0.275899,?,?,?
11,'2024/12/18 15:45:34:133',1,0.286402,0.727927,0.363117,0.698624,-0.066379,0.460081,?,?,?
12,'2024/12/18 15:45:34:336',1,-0.165495,0.143467,0.437045,0.810473,-0.183992,0.505849,?,?,?
13,'2024/12/18 15:45:34:537',1,0.355585,-0.552077,0.196826,0.457507,0.009837,0.18526,?,?,?
14,'2024/12/18 15:45:34:733',1,-0.269514,0.397533,-0.542767,0.169275,0.033426,0.450147,?,?,?
15,'2024/12/18 15:45:34:933',1,0.030665,-0.006215,0.067594,0.214059,-0.003602,0.390316,?,?,?
16,'2024/12/18 15:45:35:135',1,0.005772,0.006496,0.031165,0.272378,0.015395,0.425526,?,?,?
17,'2024/12/18 15:45:35:333',1,-0.002339,0.006931,0.019923,0.26691,0.009274,0.43507,?,?,?
18,'2024/12/18 15:45:36:734',1,-0.247522,-0.300044,0.147029,0.174612,0.138585,0.358591,?,?,?
19,'2024/12/18 15:45:36:933',1,-0.058666,0.648138,-0.645431,0.101482,0.174643,0.422447,?,?,?
20,'2024/12/18 15:45:37:133',1,0.086927,0.440642,0.468324,0.6598,-0.156758,0.495539,?,?,?
21,'2024/12/18 15:45:37:332',1,-0.242685,0.093184,0.309275,0.810178,-0.165039,0.615425,?,?,?
22,'2024/12/18 15:45:37:540',1,0.315667,-0.265533,-0.466865,0.490988,0.059287,0.360054,?,?,?
23,'2024/12/18 15:45:37:737',1,-0.092575,0.094929,-0.262212,0.321959,-0.038003,0.467809,?,?,?
24,'2024/12/18 15:45:37:933',1,-0.008948,0.020356,0.017221,0.36322,-0.025346,0.44899,?,?,?
25,'2024/12/18 15:45:40:934',1,-0.027003,-0.007337,0.058704,0.379615,-0.010109,0.432767,?,?,?
26,'2024/12/18 15:45:41:135',1,0.007668,0.014359,0.022301,0.336775,0.000056,0.421868,?,?,?
27,'2024/12/18 15:45:41:335',1,0.138513,-0.382481,0.299101,0.278897,0.036869,0.332331,?,?,?
28,'2024/12/18 15:45:41:533',1,0.044458,0.693062,-0.685955,0.125721,0.052477,0.435279,?,?,?
29,'2024/12/18 15:45:41:736',1,-0.006369,0.288863,0.963584,0.65066,-0.083471,0.444756,?,?,?
30,'2024/12/18 15:45:41:933',1,-0.394046,-0.34402,0.298958,0.703794,0.03778,0.413107,?,?,?
31,'2024/12/18 15:45:42:133',1,-0.099774,0.265347,-0.455493,0.291539,0.047154,0.412378,?,?,?
32,'2024/12/18 15:45:42:333',1,0.054452,0.020946,0.036622,0.260911,0.005219,0.390643,?,?,?
33,'2024/12/18 15:45:42:533',1,-0.009184,0.005429,-0.02877,0.25356,-0.00016,0.40621,?,?,?
34,'2024/12/18 15:45:44:226',1,0.000764,-0.000851,-0.005688,0.24519,0.022226,0.41981,?,?,?
35,'2024/12/18 15:45:44:435',1,0.01071,-0.208133,0.094764,0.217357,0.024053,0.405613,?,?,?
36,'2024/12/18 15:45:44:598',1,-0.037634,-0.107366,-0.707865,0.185443,-0.020861,0.408191,?,?,?
